node,block,root,partition,new_raw_nodes,raw_node_bytes,missing_raw_nodes,aggregated_nodes,commitment_bytes,dirty_node_count,dirty_node_bytes,dirty_account_node_count,dirty_account_node_bytes,dirty_storage_node_count,dirty_storage_node_bytes,dirty_deleted_node_count
node3,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,2,185,23061,0,661,21152,742,89504,742,89504,0,0,0
node3,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,2,194,25913,0,947,30304,757,97862,757,97862,0,0,0
node3,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,2,416,55782,0,1120,35840,828,111371,828,111371,0,0,0
node3,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,2,419,57809,0,1296,41472,822,115562,822,115562,0,0,0
node3,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,2,442,64986,0,1469,47008,875,128548,875,128548,0,0,0
node3,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,2,474,69806,0,1644,52608,946,139672,946,139672,0,0,0
node3,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,2,239,36199,0,2419,77408,948,143672,948,143672,0,0,0
node3,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,2,959,150750,0,1985,63520,962,151705,962,151705,0,0,0
node3,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,2,254,39970,0,3051,97632,1007,158439,1007,158439,0,0,0
node3,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,2,262,40879,0,3337,106784,1039,165065,1039,165065,0,0,0
node3,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,2,509,81238,0,3159,101088,1042,166936,1042,166936,0,0,0
node3,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,2,203,35246,0,3869,123808,802,138485,802,138485,0,0,0
node4,3,0xe566599755c96c4dbd2f564ad9627db9b27a1d3ebeca5fbd0bc45ef13f48b021,3,137,16279,0,13,416,139,16734,139,16734,0,0,0
node4,4,0xa44d2c6dd8c65e71bab4ddd598836ab84ee0d096e000a24da2f4985c03315f00,3,325,36892,0,274,8768,644,73549,644,73549,0,0,0
node4,5,0xcf2a2d2ba8682786a8d3d6328e9589cb2c9edb8fc8f7530b2b3a4ee647534ae6,3,737,88175,0,289,9248,742,89504,742,89504,0,0,0
node4,6,0xadc2fbe0c8a4c830f0cc2255551f239fe2678b22caa4b340c86e5c0dfe0cfe9c,3,754,96555,0,330,10560,757,97862,757,97862,0,0,0
node4,7,0xdcdc9a400a768dd75a43be9146f75f61b655212de5abd7c3c823924f273a67a6,3,825,110064,0,328,10496,828,111371,828,111371,0,0,0
node4,8,0x5b3d4fc40611886701a94f6964d5d17e41cc559961d4316333e9e8be4f8eddd2,3,818,113947,0,400,12800,822,115562,822,115562,0,0,0
node4,9,0x868b0e763673af48b6497fd63b2be82dcb769dc9bf10a4582ea4b759c547ddc7,3,868,126699,0,411,13152,875,128548,875,128548,0,0,0
node4,10,0x7250a7ffac365440282b1ad62bb1ef20b1aadae664ee94375ba6803faae9c2a6,3,943,138332,0,436,13952,946,139672,946,139672,0,0,0
node4,11,0x8cf3049a8aa1eaabffe4d504bcacd36ee9d5b3f7e489b7f3b7f4810c4f7852e5,3,945,142236,0,479,15328,948,143672,948,143672,0,0,0
node4,12,0x9c99a87368fd87c62e8bab7433bc17dd7b5988c3f62a9d0a2ff19f2a8c858f3c,3,466,71252,0,2079,66528,962,151705,962,151705,0,0,0
node4,13,0xdb5a18155234b5d31121efd9553d1becd40ebfa9a82b2b6dd73033e7e62fb8c9,3,1004,157340,0,1061,33952,1007,158439,1007,158439,0,0,0
node4,14,0x5a2f553cfafb3fb13fc36cf97d424f49f3d6dfec692518daca79ef9ffd54edd8,3,1034,163270,0,924,29568,1039,165065,1039,165065,0,0,0
node4,15,0x37be73309a09497a2f5b7bd9c208809769f445f5049c2c77b9540dd04e25409b,3,1036,164866,0,940,30080,1042,166936,1042,166936,0,0,0
node4,16,0xbaa6b7d290f671186fcffc991bfaaa1bffc7142039b4268f1d1e42c8fbaa8bf6,3,796,136575,0,952,30464,802,138485,802,138485,0,0,0
